country,region,year,total_museums,art_museums,history_museums,science_museums,population_millions,gdp_per_capita_usd,tourism_income_billion,culture_budget_percent,unesco_sites
Poland,Europe,2022,2179,517,933,729,363.42,72729,152.7,0.32,9
France,Europe,2018,2770,802,1135,833,1327.18,97146,143.8,2.01,5
Spain,Europe,2022,5349,817,2096,2436,461.39,69307,187.92,2.32,8
Greece,Europe,2020,2050,425,890,735,387.28,47119,52.07,2.44,11
Malaysia,Asia,2018,3036,547,1263,1226,484.35,29486,167.48,0.34,3
Saudi Arabia,Asia,2021,5498,1348,1941,2209,98.89,41469,137.71,0.15,11
Turkey,Asia,2022,5011,1273,2153,1585,548.36,44174,66.66,2.2,7
Switzerland,Europe,2020,6525,2076,3197,1252,384.91,50477,111.06,0.73,7
Singapore,Asia,2020,5891,2025,2428,1438,826.22,46569,40.33,0.89,12
Canada,Americas,2015,29610,5711,11371,12528,1121.73,71787,83.34,0.59,6
Canada,Americas,2022,17318,3918,9072,4328,917.71,18899,190.34,0.56,2
Norway,Europe,2020,2558,546,932,1080,592.88,86766,10.8,0.9,5
China,Asia,2023,1945,468,861,616,1007.62,13123,14.87,0.34,3
Venezuela,Americas,2022,13370,3080,5563,4727,470.82,30284,41.03,0.48,14
Poland,Europe,2015,4713,1054,2558,1101,1373.13,61683,130.03,1.35,14
Philippines,Asia,2018,4429,1138,2342,949,695.64,62310,118.44,0.65,9
Cuba,Americas,2023,23045,3636,8410,10999,868.39,98531,195.01,1.58,13
Norway,Europe,2022,4245,783,1586,1876,1104.95,74010,184.34,0.82,6
Portugal,Europe,2018,2897,463,1042,1392,715.14,26954,109.14,1.14,12
Sweden,Europe,2022,638,126,313,199,1201.0,12739,114.05,0.69,2
Austria,Europe,2022,7645,2214,2759,2672,1040.82,33367,141.2,0.19,15
New Zealand,Oceania,2018,274,86,107,81,1356.59,34127,171.14,0.75,6
India,Asia,2021,4386,714,1877,1795,1053.42,55574,66.0,0.87,6
Japan,Asia,2020,3334,592,1812,930,116.64,54582,33.88,1.17,7
Indonesia,Asia,2018,3039,899,1303,837,855.49,30749,94.73,0.38,5
India,Asia,2021,1590,505,585,500,1424.58,18512,118.27,0.96,7
Indonesia,Asia,2022,4429,1465,2086,878,1228.73,41082,168.49,1.58,13
Poland,Europe,2015,680,105,308,267,1167.73,96630,124.52,1.79,9
Saudi Arabia,Asia,2023,5542,1853,2461,1228,377.22,49344,99.14,0.41,6
Sweden,Europe,2018,3084,1045,1326,713,758.56,71748,53.29,1.66,10
Mexico,Americas,2018,13181,3934,5120,4127,1272.6,77366,110.1,0.22,12
Australia,Oceania,2020,64,21,26,17,1406.63,23657,50.65,0.56,9
Mexico,Americas,2018,20068,4341,10494,5233,820.78,27234,75.29,0.66,6
UK,Europe,2023,5114,1710,2611,793,171.87,41823,96.72,0.96,15
Egypt,Africa,2022,314,51,130,133,565.86,38912,191.18,1.12,2
Philippines,Asia,2015,521,159,209,153,42.32,27169,48.5,0.31,4
Peru,Americas,2023,35698,10719,16970,8009,637.48,91218,78.7,1.54,2
Austria,Europe,2015,4283,1263,2268,752,4.72,8381,195.52,2.49,12
Jamaica,Americas,2020,8378,2877,3739,1762,200.22,39738,116.88,0.32,11
Senegal,Africa,2023,323,55,149,119,1254.67,60174,74.36,2.15,2
Saudi Arabia,Asia,2023,3986,772,2114,1100,68.04,76813,8.47,1.69,9
Malaysia,Asia,2021,928,324,445,159,901.34,84511,140.95,0.29,15
Venezuela,Americas,2023,18828,2937,6601,9290,1189.05,77931,137.79,0.2,13
Portugal,Europe,2015,2954,1018,1221,715,494.71,95703,2.51,0.97,1
Morocco,Africa,2018,349,61,157,131,716.19,48643,18.49,2.46,9
Senegal,Africa,2020,154,28,74,52,1433.8,29241,104.83,2.08,10
Philippines,Asia,2023,3850,1310,1943,597,471.45,81277,76.24,2.04,13
Ethiopia,Africa,2021,227,52,81,94,404.82,65861,82.2,0.22,13
Uganda,Africa,2015,202,41,102,59,1301.11,10646,196.31,0.4,5
China,Asia,2023,257,52,96,109,268.06,59446,167.52,0.9,14
Philippines,Asia,2018,1850,463,827,560,884.49,33342,46.58,0.39,9
Cuba,Americas,2021,38301,11599,16176,10526,1184.35,98689,196.65,2.28,13
Japan,Asia,2015,3800,779,1864,1157,811.74,34809,27.9,1.96,3
Nigeria,Africa,2022,348,95,137,116,1442.78,48140,12.69,0.74,8
Morocco,Africa,2015,180,61,87,32,836.99,97434,6.76,0.76,2
Peru,Americas,2021,7634,2547,3861,1226,129.83,59799,78.02,0.4,6
Greece,Europe,2021,7099,1105,2584,3410,1315.11,86019,89.56,1.03,8
Switzerland,Europe,2022,3114,473,1437,1204,522.07,76050,147.21,0.6,10
Ethiopia,Africa,2015,441,112,165,164,745.34,55070,188.4,0.65,8
Nigeria,Africa,2022,289,100,132,57,190.73,92743,38.23,0.77,7
Nigeria,Africa,2020,73,16,39,18,1066.35,79774,160.56,1.13,3
Ethiopia,Africa,2021,183,62,70,51,396.61,85723,70.58,0.36,10
South Korea,Asia,2021,634,135,251,248,422.18,69347,186.14,1.83,0
South Korea,Asia,2015,2256,694,883,679,374.26,12719,49.72,0.94,7
Greece,Europe,2015,5266,1823,2114,1329,983.67,18487,172.95,0.75,14
Kenya,Africa,2018,462,117,197,148,1121.12,29777,126.63,0.81,5
China,Asia,2020,3368,1061,1341,966,1379.94,21104,98.61,1.86,8
Indonesia,Asia,2020,3061,471,1284,1306,337.64,48234,42.66,2.46,15
Venezuela,Americas,2020,14425,5044,5226,4155,657.05,25384,18.94,0.61,1
Switzerland,Europe,2020,3786,796,1664,1326,859.68,95330,18.78,0.72,6
Nigeria,Africa,2020,387,85,144,158,175.82,71886,30.66,1.66,7
Brazil,Americas,2020,8330,2393,3359,2578,106.55,88769,95.85,1.85,7
Greece,Europe,2018,7054,1893,3553,1608,130.23,12179,118.55,1.22,2
UAE,Asia,2018,4580,1350,1819,1411,184.59,13440,122.12,1.03,9
India,Asia,2015,400,63,158,179,169.59,49339,131.29,0.66,3
Switzerland,Europe,2023,3590,1179,1629,782,24.36,77601,187.09,1.99,10
Colombia,Americas,2018,22702,5647,8803,8252,918.55,39958,142.41,0.57,7
Netherlands,Europe,2015,7639,1883,3005,2751,274.79,50184,153.33,1.74,12
Argentina,Americas,2023,6125,1578,2857,1690,861.42,9979,110.82,0.44,1
Bangladesh,Asia,2018,748,149,397,202,548.45,69950,19.47,0.58,7
Egypt,Africa,2018,481,153,245,83,1388.9,9820,40.81,2.33,15
New Zealand,Oceania,2015,147,30,63,54,1001.63,47794,45.72,1.46,12
Spain,Europe,2018,1755,534,879,342,473.15,90778,138.59,1.95,2
Peru,Americas,2023,37765,6360,15085,16320,75.95,23518,149.62,1.9,5
Jamaica,Americas,2023,1986,415,1005,566,323.2,35402,36.39,1.07,13
Poland,Europe,2020,1856,405,805,646,704.14,20300,22.35,1.34,5
Chile,Americas,2023,25545,5409,13607,6529,1402.68,9776,47.52,2.3,9
Turkey,Asia,2020,4667,1259,2038,1370,1128.18,69985,102.34,2.34,0
Venezuela,Americas,2023,19996,3324,10278,6394,1374.5,58448,197.92,2.4,8
Kenya,Africa,2023,50,16,24,10,1038.45,13999,14.67,1.5,13
Nigeria,Africa,2021,272,50,108,114,532.48,32046,90.19,0.99,9
Chile,Americas,2015,31570,5511,13255,12804,1286.35,16599,95.04,0.16,2
Czech Republic,Europe,2022,5636,1723,2309,1604,1172.32,7313,150.62,0.44,5
Portugal,Europe,2015,6924,1078,3382,2464,1419.04,31208,117.57,1.84,14
Denmark,Europe,2015,4731,872,2347,1512,1275.94,56228,45.23,0.58,14
Norway,Europe,2015,4981,891,1933,2157,375.57,25830,87.42,2.27,6
South Korea,Asia,2023,4134,1435,1617,1082,1127.46,11800,181.07,1.31,6
India,Asia,2021,3198,1020,1249,929,1137.91,80997,168.73,0.91,9
Turkey,Asia,2023,2749,834,984,931,1368.98,63002,118.95,1.0,1
Iran,Asia,2018,5281,1293,2294,1694,803.18,5256,7.1,0.6,7
Netherlands,Europe,2020,3650,602,1327,1721,626.46,24718,38.92,0.85,3
Ethiopia,Africa,2020,316,68,154,94,244.39,73112,177.68,0.9,6
Turkey,Asia,2023,4809,1148,2305,1356,300.57,78235,60.2,0.11,13
Tanzania,Africa,2022,206,43,85,78,197.45,98772,105.59,1.59,2
Tanzania,Africa,2020,443,68,167,208,1388.74,55799,151.68,1.1,3
France,Europe,2023,2071,328,963,780,231.21,55554,192.75,1.27,0
Cuba,Americas,2021,5590,1232,2567,1791,1270.12,85098,116.84,0.29,8
Kenya,Africa,2020,176,57,84,35,1409.44,73179,95.6,1.83,11
Czech Republic,Europe,2022,3293,915,1524,854,190.41,21463,33.3,1.91,7
New Zealand,Oceania,2022,452,113,236,103,138.17,95121,183.22,1.8,2
South Korea,Asia,2023,5028,1628,2404,996,1362.81,78724,32.01,1.29,10
South Korea,Asia,2020,4898,1397,1935,1566,785.93,61615,50.15,1.65,10
Chile,Americas,2023,6298,1530,3382,1386,798.64,53101,193.02,2.04,0
Philippines,Asia,2015,5100,1102,1953,2045,1337.25,94109,73.86,1.24,12
New Zealand,Oceania,2015,318,83,171,64,1424.04,52234,118.37,1.66,14
Poland,Europe,2022,1341,461,663,217,228.59,83226,37.5,0.23,1
Japan,Asia,2022,2886,499,1043,1344,1434.48,40023,183.9,1.61,14
Saudi Arabia,Asia,2015,3935,863,1632,1440,1175.92,59029,119.27,1.79,3
Spain,Europe,2015,3702,1003,1804,895,1380.29,70019,68.22,1.69,5
Italy,Europe,2022,2310,581,1030,699,1139.34,24153,95.28,1.3,4
Poland,Europe,2018,5309,1479,2481,1349,90.91,96080,136.14,2.41,11
Nigeria,Africa,2023,297,98,127,72,487.62,49683,150.87,1.51,6
New Zealand,Oceania,2023,240,52,105,83,510.31,79291,121.38,0.92,6
Indonesia,Asia,2015,1601,469,655,477,1354.33,53441,184.39,2.17,1
Philippines,Asia,2018,2222,413,789,1020,38.1,47017,198.18,0.94,0
Germany,Europe,2022,7768,2575,2760,2433,209.51,72881,51.77,0.31,7
Netherlands,Europe,2018,3313,1090,1237,986,1248.93,70512,98.85,1.24,14
China,Asia,2020,1903,429,779,695,1124.44,64730,178.48,0.6,2
Singapore,Asia,2015,1921,571,1036,314,1020.48,53835,104.37,0.41,3
Singapore,Asia,2015,3672,1045,1419,1208,1368.88,50813,165.35,0.27,8
Vietnam,Asia,2021,1300,303,686,311,988.96,78737,61.09,2.07,14
South Africa,Africa,2021,297,86,162,49,734.81,47935,185.08,0.8,15
Egypt,Africa,2021,460,104,164,192,1298.32,64299,191.32,0.73,5
Portugal,Europe,2015,5763,1703,2029,2031,1367.22,49242,16.59,0.97,4
Nigeria,Africa,2018,465,159,178,128,1248.62,84190,77.44,1.67,13
Kenya,Africa,2022,359,99,156,104,615.86,27311,76.18,0.57,11
Pakistan,Asia,2018,1142,359,553,230,3.19,77084,33.8,2.19,14
South Korea,Asia,2021,3108,487,1576,1045,370.68,9867,31.3,0.76,1
Colombia,Americas,2021,26210,5567,12570,8073,585.84,66890,157.99,1.0,2
Japan,Asia,2018,182,32,85,65,1348.13,17435,25.49,1.18,4
Iran,Asia,2015,3124,776,1434,914,562.54,15610,179.9,2.33,14
Ethiopia,Africa,2015,383,61,194,128,39.56,26720,153.65,0.71,8
USA,Americas,2015,23940,6010,9362,8568,363.82,31302,116.4,0.29,1
Austria,Europe,2020,1963,525,856,582,182.53,78299,69.15,0.68,13
Saudi Arabia,Asia,2021,3286,1051,1326,909,1417.57,89753,159.47,0.16,7
UAE,Asia,2022,2985,599,1083,1303,442.82,50298,191.02,0.96,4
Uganda,Africa,2023,291,45,105,141,1382.31,13068,100.78,0.31,0
Australia,Oceania,2018,114,20,49,45,832.8,55356,173.82,2.34,15
India,Asia,2020,1558,395,642,521,443.67,13544,3.05,1.1,10
Australia,Oceania,2018,163,29,75,59,510.1,31574,170.73,0.81,11
Tanzania,Africa,2015,93,29,46,18,1253.41,13213,158.79,0.85,4
Colombia,Americas,2020,28019,5501,10454,12064,779.18,15151,84.82,0.35,5
Philippines,Asia,2020,1615,467,708,440,393.73,28378,195.2,0.58,0
Finland,Europe,2021,7613,2635,4161,817,881.72,84969,175.24,1.4,4
Fiji,Oceania,2021,143,45,63,35,10.0,42045,174.54,1.64,5
Senegal,Africa,2020,165,55,75,35,449.93,31559,192.04,1.29,12
Poland,Europe,2020,7367,2489,3301,1577,250.67,66623,42.01,1.62,7
Morocco,Africa,2021,272,64,111,97,971.07,81013,57.18,1.47,13
China,Asia,2023,2044,617,930,497,708.13,6775,198.13,2.36,4
Nigeria,Africa,2020,94,22,35,37,450.68,94385,71.05,1.08,6
Japan,Asia,2023,5158,837,2804,1517,834.7,68426,122.22,1.71,1
Sweden,Europe,2023,6902,2178,3233,1491,1238.23,67321,55.6,0.32,2
Singapore,Asia,2020,2706,592,1260,854,1023.17,95392,119.74,1.45,1
Canada,Americas,2022,15969,2705,7683,5581,113.44,54735,186.49,1.61,5
Switzerland,Europe,2020,5230,1345,1862,2023,1312.82,68105,6.89,0.53,7
Bangladesh,Asia,2018,4450,972,2128,1350,1163.31,46228,66.78,0.72,1
Australia,Oceania,2018,205,54,79,72,715.7,14732,22.41,0.67,6
Austria,Europe,2015,2770,429,1182,1159,831.85,74505,15.99,1.67,9
Spain,Europe,2021,375,63,144,168,1144.62,20369,179.83,0.45,8
Venezuela,Americas,2023,31172,5071,14668,11433,1155.89,53463,30.96,0.26,10
Argentina,Americas,2020,30392,6975,12063,11354,415.76,93578,95.49,2.31,3
Fiji,Oceania,2015,533,157,262,114,596.0,85929,78.75,1.02,11
Australia,Oceania,2021,470,118,231,121,296.91,91344,92.6,2.25,9
Indonesia,Asia,2018,288,55,111,122,1285.79,75949,150.18,2.07,9
Jamaica,Americas,2021,35913,6826,15235,13852,209.33,97052,134.21,2.07,0
Senegal,Africa,2022,321,67,174,80,1070.44,72269,45.02,1.5,5
Mexico,Americas,2023,4521,816,1902,1803,360.84,18463,108.11,0.81,12
Portugal,Europe,2020,4891,875,2664,1352,427.78,83416,185.93,2.02,6
Germany,Europe,2020,854,191,387,276,307.18,59826,19.55,0.98,5
Cuba,Americas,2018,20431,4286,7424,8721,65.48,74209,17.97,1.15,14
Italy,Europe,2022,2552,531,1283,738,195.12,48835,46.11,1.88,2
Czech Republic,Europe,2023,7937,2469,4324,1144,831.67,43409,103.79,0.78,10
Thailand,Asia,2020,777,239,322,216,576.85,74626,104.82,1.26,13
China,Asia,2023,2673,624,972,1077,689.06,5932,108.88,1.46,2
Fiji,Oceania,2022,326,108,150,68,1291.14,24868,9.07,1.18,15
Chile,Americas,2022,32048,5193,13729,13126,24.9,7590,139.21,0.72,7
Turkey,Asia,2018,3471,1040,1884,547,354.49,95123,16.71,1.23,0
Australia,Oceania,2023,478,91,238,149,838.56,14104,96.6,0.38,11
Saudi Arabia,Asia,2023,3874,744,1994,1136,510.07,66171,71.48,0.35,6
